entry,mem_size,pag_size,alg,reads,writes
logs/compilador.log,512,2,fifo,1197,881
logs/compilador.log,512,4,fifo,1601,1222
logs/compilador.log,512,8,fifo,1364,1000
logs/compilador.log,512,16,fifo,1140,780
logs/compilador.log,512,32,fifo,1300,930
logs/compilador.log,512,64,fifo,1861,1267
logs/compressor.log,512,2,fifo,320,7
logs/compressor.log,512,4,fifo,344,23
logs/compressor.log,512,8,fifo,380,33
logs/compressor.log,512,16,fifo,442,39
logs/compressor.log,512,32,fifo,368,35
logs/compressor.log,512,64,fifo,471,44
logs/matriz.log,512,2,fifo,20847,4815
logs/matriz.log,512,4,fifo,14471,3519
logs/matriz.log,512,8,fifo,26291,5800
logs/matriz.log,512,16,fifo,56430,12064
logs/matriz.log,512,32,fifo,138884,30039
logs/matriz.log,512,64,fifo,201816,33806
logs/simulador.log,512,2,fifo,1779,1414
logs/simulador.log,512,4,fifo,1114,894
logs/simulador.log,512,8,fifo,1159,996
logs/simulador.log,512,16,fifo,1284,1125
logs/simulador.log,512,32,fifo,1555,1373
logs/simulador.log,512,64,fifo,2129,1892
logs/compilador.log,512,2,lru,2391,1872
logs/compilador.log,512,4,lru,1230,940
logs/compilador.log,512,8,lru,923,675
logs/compilador.log,512,16,lru,1220,847
logs/compilador.log,512,32,lru,1413,930
logs/compilador.log,512,64,lru,1396,970
logs/compressor.log,512,2,lru,428,14
logs/compressor.log,512,4,lru,337,20
logs/compressor.log,512,8,lru,497,38
logs/compressor.log,512,16,lru,338,31
logs/compressor.log,512,32,lru,343,36
logs/compressor.log,512,64,lru,321,28
logs/matriz.log,512,2,lru,11270,2894
logs/matriz.log,512,4,lru,10211,2641
logs/matriz.log,512,8,lru,18804,4289
logs/matriz.log,512,16,lru,39845,7387
logs/matriz.log,512,32,lru,100222,27723
logs/matriz.log,512,64,lru,164951,32204
logs/simulador.log,512,2,lru,2290,1910
logs/simulador.log,512,4,lru,2317,2063
logs/simulador.log,512,8,lru,1136,976
logs/simulador.log,512,16,lru,1489,1327
logs/simulador.log,512,32,lru,1341,1172
logs/simulador.log,512,64,lru,1729,1508
logs/compilador.log,512,2,newalg,1153,765
logs/compilador.log,512,4,newalg,1656,1239
logs/compilador.log,512,8,newalg,1782,1296
logs/compilador.log,512,16,newalg,1260,871
logs/compilador.log,512,32,newalg,1474,1010
logs/compilador.log,512,64,newalg,1860,1270
logs/compressor.log,512,2,newalg,923,40
logs/compressor.log,512,4,newalg,274,19
logs/compressor.log,512,8,newalg,331,27
logs/compressor.log,512,16,newalg,398,31
logs/compressor.log,512,32,newalg,348,31
logs/compressor.log,512,64,newalg,512,46
logs/matriz.log,512,2,newalg,9395,2579
logs/matriz.log,512,4,newalg,16928,4014
logs/matriz.log,512,8,newalg,21198,5028
logs/matriz.log,512,16,newalg,47765,10286
logs/matriz.log,512,32,newalg,116328,24071
logs/matriz.log,512,64,newalg,191852,32778
logs/simulador.log,512,2,newalg,1796,1420
logs/simulador.log,512,4,newalg,1450,1213
logs/simulador.log,512,8,newalg,1281,1100
logs/simulador.log,512,16,newalg,1269,1107
logs/simulador.log,512,32,newalg,1839,1603
logs/simulador.log,512,64,newalg,2012,1768
